City,Ease_of_Transport_Rank,Transport_level
Buckingham Village,50990,Medium
Buckshutem,50991,Medium
Budd Lake,50992,Medium
Buddtown,50993,Medium
Bunnvale,50994,Medium
Burleigh,50995,Medium
Burlington Heights,50996,Medium
Burrs Mill,50997,Medium
Bustleton,50998,Medium
Butler Park,50999,Medium
Butlers Place,51000,Medium
Butterworth Farms,51001,Medium
Buttzville,51002,Medium
Byram Cove,51003,Medium
Califon,51004,Medium
Calno,51005,Medium
Camp Columbus,51006,Medium
Camp Osborne,51007,Medium
Campgaw,51008,Medium
Candlewyck,51009,Medium
Cape May,51010,Medium
Cape May Court House,51011,Medium
Cape May Point,51012,Medium
Carlls Corner,51013,Medium
Carlstadt,51014,Medium
Carlton Hill,51015,Medium
Carmantown,51016,Medium
Carmerville,51017,Medium
Carneys Point,51018,Medium
Carrs Tavern,51019,Medium
Carsons Mills,51020,Medium
Carteret,51021,Medium
Cedar Bridge,51022,Medium
Cedar Bridge Manor,51023,Medium
Cedar Crest Manor,51024,Medium
Cedar Glen Lakes,51025,Medium
Cedar Glen West,51026,Medium
Cedar Knolls,51027,Medium
Cedarwood Park,51028,Medium
Centre City,51029,Medium
Centre Grove,51030,Medium
Chadwick Beach,51031,Medium
Chairville,51032,Medium
Chambers Corners,51033,Medium
Charcoal Landing,51034,Medium
Changewater,51035,Medium
Charlotteburg,51036,Medium
Cheesequake,51037,Medium
Cherry Downs,51038,Medium
Charleston Springs,51039,Medium
Charleston East,51040,Medium
Cherry Hill Mall,51041,Medium
Cherry Quay,51042,Medium
Chesilhurst,51043,Medium
Chestnut Estates,51044,Medium
Chewalla Park,51045,Medium
Chews,51046,Medium
Christopher Mills,51047,Medium
Church Landing,51048,Medium
Churchtown,51049,Medium
Cinnaminson,51050,Medium
Clara Barton,51051,Medium
Clarkstown,51052,Medium
Claytons Corner,51053,Medium
Clearbrook Park,51054,Medium
Clementon,51055,Medium
Clements Bridge,51056,Medium
Cliffside Park,51057,Medium
Cliffwood,51058,Medium
Cliffwood Beach,51059,Medium
Clover Leaf Lakes,51060,Medium
Cloverhill,51061,Medium
Cobbs Mill,51062,Medium
Coffins Corner,51063,Medium
Cohansey,51064,Medium
Cold Indian Springs,51065,Medium
Coleman Hollow,51066,Medium
Colemantown,51067,Medium
Colestown,51068,Medium
Colliers Mills,51069,Medium
Collings Lakes,51070,Medium
Collingswood,51071,Medium
Collingwood Park,51072,Medium
Colts Neck,51073,Medium
Columbia Lakes,51074,Medium
Colwick,51075,Medium
Comical Corners,51076,Medium
Communipaw,51077,Medium
Conovertown,51078,Medium
Cookstown,51079,Medium
Cooleys Corner,51080,Medium
Coontown,51081,Medium
Cooper Village,51082,Medium
Corbin City,51083,Medium
Cottrell Corners,51084,Medium
Country Club Ridge,51085,Medium
Country Lake Estates,51086,Medium
Courses Landing,51087,Medium
Coventry Square,51088,Medium
Coxstown,51089,Medium
Coytesville,51090,Medium
Cragmere Park,51091,Medium
Cramer Hill,51092,Medium
Cranberry Hill,51093,Medium
Cranberry Lake,51094,Medium
Cranbury Station,51095,Medium
Crandon Lakes,51096,Medium
Crane Square,51097,Medium
Cranford,51098,Medium
Cranford Junction,51099,Medium
Cranmoor Manor,51100,Medium
Creesville,51101,Medium
Cresskill,51102,Medium
Crestmoore,51103,Medium
Crossmans,51104,Medium
Crosswicks,51105,Medium
Crowfoot,51106,Medium
Crowleytown,51107,Medium
Croxton,51108,Medium
Culvers Inlet,51109,Medium
Cushetunk,51110,Medium
Da Costa,51111,Medium
Danceys Corner,51112,Medium
Daretown,51113,Medium
Darts Mills,51114,Medium
Davis Bridge,51115,Medium
Dekays,51116,Medium
Deacons,51117,Medium
Deal Park,51118,Medium
Deer Chase Manor,51119,Medium
Deer Lake Park,51120,Medium
Deerwoods,51121,Medium
Del Haven,51122,Medium
Delair,51123,Medium
Delair Junction,51124,Medium
Delanco,51125,Medium
Delawanna,51126,Medium
Dellette,51127,Medium
Delaware Gardens,51128,Medium
Demarest,51129,Medium
Dennisville,51130,Medium
Denville,51131,Medium
Diamond Beach,51132,Medium
Dias Creek,51133,Medium
Dickerson Corner,51134,Medium
Dicktown,51135,Medium
Dilkes Mills,51136,Medium
Dilkesboro,51137,Medium
Dilts Corner,51138,Medium
Dividing Creek,51139,Medium
Dogs Corners,51140,Medium
Donaldson Park,51141,Medium
Donlontown,51142,Medium
Double Trouble,51143,Medium
Doughty,51144,Medium
Dover Beaches North,51145,Medium
Dover Beaches South,51146,Medium
Dover Forge,51147,Medium
Downs Farms,51148,Medium
Downstown,51149,Medium
Dragston,51150,Medium
Drakestown,51151,Medium
Dreahook,51152,Medium
Dukes Bridge,51153,Medium
Dunellen,51154,Medium
Dunhams Corners,51155,Medium
Dunnfield,51156,Medium
Dunns Mills,51157,Medium
Dutch Neck,51158,Medium
Duttonville,51159,Medium
Earlys Crossing,51160,Medium
East Brunswick,51161,Medium
East Burlington,51162,Medium
East Freehold,51163,Medium
East Hanover,51164,Medium
East Keansburg,51165,Medium
East Long Branch,51166,Medium
East Newark,51167,Medium
East Millstone,51168,Medium
East Orange,51169,Medium
East Pennsauken,51170,Medium
East Riverton,51171,Medium
East Rutherford,51172,Medium
East Spotswood,51173,Medium
East Trenton Heights,51174,Medium
East Vineland,51175,Medium
Eatontown,51176,Medium
Eayrestown,51177,Medium
Echelon,51178,Medium
Edgebrook,51179,Medium
Edgemere Estates,51180,Medium
Edinburg Park,51181,Medium
Egg Harbor City,51182,Medium
Eilers Corner,51183,Medium
Elberon Park,51184,Medium
Eldridge Hill,51185,Medium
Eldridge Park,51186,Medium
Elizabethport,51187,Medium
Elks Terrace,51188,Medium
Ellisdale,51189,Medium
Elmora,51190,Medium
Elys Corner,51191,Medium
Emmelsville,51192,Medium
Englewood Cliffs,51193,Medium
English Creek,51194,Medium
English Creek Landing,51195,Medium
Englishtown,51196,Medium
Erial,51197,Medium
Erlton,51198,Medium
Erma,51199,Medium
Erma Park,51200,Medium
Ernston,51201,Medium
Erskine Lakes,51202,Medium
Essex Fells,51203,Medium
Estell Manor,51204,Medium
Estellville,51205,Medium
Etra,51206,Medium
Everittstown,51207,Medium
Evesboro,51208,Medium
Ewan,51209,Medium
Ewansville,51210,Medium
Extonville,51211,Medium
Fairton,51212,Medium
Fairview Knolls,51213,Medium
Fairwoods,51214,Medium
Fanwood,51215,Medium
Far Hills,51216,Medium
Fardale,51217,Medium
Farnerville,51218,Medium
Farrington Lake Heights,51219,Medium
Fayson Lakes,51220,Medium
Feaster Park,51221,Medium
Febletown,51222,Medium
Ferdinands Mills,51223,Medium
Ferrell,51224,Medium
Ferry Road Manor,51225,Medium
Fieldville,51226,Medium
Finderne,51227,Medium
Finesville,51228,Medium
Fithians Corner,51229,Medium
Flagtown,51230,Medium
Flatbrookville,51231,Medium
Flemington Junction,51232,Medium
Florence Station,51233,Medium
Flyat,51234,Medium
Florham Park,51235,Medium
Folwell,51236,Medium
Fork Landing,51237,Medium
Forked River,51238,Medium
Forked River Beach,51239,Medium
Forked River Point,51240,Medium
Fort Dix,51241,Medium
Fort Elfsborg,51242,Medium
Fort Hancock,51243,Medium
Fort Lee,51244,Medium
Fort Mott,51245,Medium
Fort Plains,51246,Medium
Fostertown,51247,Medium
Foul Rift,51248,Medium
Four Mile Circle,51249,Medium
Fox Hollow Woods,51250,Medium
Foxs Mill,51251,Medium
Frames Corner,51252,Medium
Francis Mills,51253,Medium
Franklin Corner,51254,Medium
Franklin Lakes,51255,Medium
Fredon,51256,Medium
Freehold,51257,Medium
Free Acres,51258,Medium
Freewood Acres,51259,Medium
Freneau,51260,Medium
Friendship Station,51261,Medium
Friars Landing,51262,Medium
Fresh Ponds,51263,Medium
Friesburg,51264,Medium
Gandys Beach,51265,Medium
Fries Mill,51266,Medium
Furmans Corner,51267,Medium
Gardiners Landing,51268,Medium
Gardenville Center,51269,Medium
Garfield Park East,51270,Medium
Garfield Park North,51271,Medium
Garrison Corner,51272,Medium
Gary Corner,51273,Medium
Garton,51274,Medium
Germania Gardens,51275,Medium
Gibbsboro,51276,Medium
Giffordtown,51277,Medium
Gigantic City,51278,Medium
Gilford Park,51279,Medium
Gillilandtown,51280,Medium
Glassboro,51281,Medium
Glen Alpin,51282,Medium
Glen Cedar City,51283,Medium
Glen Gardner,51284,Medium
Glen Rock,51285,Medium
Glendola,51286,Medium
Glenmoore,51287,Medium
Glenside,51288,Medium
Gloucester City,51289,Medium
Gloucester Heights,51290,Medium
Glouster Landing,51291,Medium
Golden Crest,51292,Medium
Golden Triangle,51293,Medium
Goodmans Crossing,51294,Medium
Goshen Crossing,51295,Medium
Gouldtown,51296,Medium
Golf View,51297,Medium
Golf Manor,51298,Medium
Golf View Manor,51299,Medium
Grand Sprute,51300,Medium
Grassy Sound,51301,Medium
Gravelly Run,51302,Medium
Great Notch,51303,Medium
Greater Cross Roads,51304,Medium
Green Bank,51305,Medium
Green Curve Heights,51306,Medium
Green Knoll,51307,Medium
Green Pond Junction,51308,Medium
Green-Fields,51309,Medium
Greendell,51310,Medium
Greenfield Heights,51311,Medium
Greensand,51312,Medium
Greentree Village,51313,Medium
Grenloch,51314,Medium
Grenloch Terrace,51315,Medium
Griggstown,51316,Medium
Grovers Mill,51317,Medium
Gum Tree Corner,51318,Medium
Hackettstown,51319,Medium
Hacklebarney,51320,Medium
Haddon,51321,Medium
Haddon Heights,51322,Medium
Haddon Hills,51323,Medium
Haddon Leigh,51324,Medium
Haddon Towne,51325,Medium
Haddonfield,51326,Medium
Hagerville,51327,Medium
Hainesburg,51328,Medium
Hainesport,51329,Medium
Halberton,51330,Medium
Haledon,51331,Medium
Hamilton Square,51332,Medium
Hampton Furnace,51333,Medium
Hampton Gate,51334,Medium
Hampton Junction,51335,Medium
Hampton Lakes,51336,Medium
Hancocks Bridge,51337,Medium
Haneys Mill,51338,Medium
Hanover Furnace,51339,Medium
Hanover Neck,51340,Medium
Harbourton,51341,Medium
Harding Lakes,51342,Medium
Hardistonville,51343,Medium
Hardingville,51344,Medium
Hardwick Center,51345,Medium
Harlingen,51346,Medium
Harmersville,51347,Medium
Harmonyvale,51348,Medium
Harneys Corner,51349,Medium
Harrington Park,51350,Medium
Harts Corner,51351,Medium
Harvey Cedars,51352,Medium
Hasbrouck Heights,51353,Medium
Haven Beach,51354,Medium
Haven Homes,51355,Medium
Hawthorne Park,51356,Medium
Hazlet,51357,Medium
Heath Manor,51358,Medium
Heathcote,51359,Medium
Hedding,51360,Medium
Heislerville,51361,Medium
Helmetta,51362,Medium
Hemlock Glen,51363,Medium
Hendrickson Corners,51364,Medium
Henningers Mill,51365,Medium
Hensfoot,51366,Medium
Herberts,51367,Medium
Herberts Corner,51368,Medium
Herbertsville,51369,Medium
Herwood,51370,Medium
Hesstown,51371,Medium
Hi-Nella,51372,Medium
Hickory Tree,51373,Medium
Hickstown,51374,Medium
Higbeeville,51375,Medium
High Bank Landing,51376,Medium
High Crossing,51377,Medium
Highs Beach,51378,Medium
Hightstown,51379,Medium
Hillsdale Manor,51380,Medium
Hilltop Estates,51381,Medium
Hillside Terrace,51382,Medium
Ho-Ho-Kus,51383,Medium
Hockamik,51384,Medium
Hoffmans,51385,Medium
Holcomb Mills,51386,Medium
Holgate,51387,Medium
Holiday City,51388,Medium
Holmdel,51389,Medium
Holmansville,51390,Medium
Holmeson,51391,Medium
Homes Mills,51392,Medium
Homestead Park,51393,Medium
Hoot Owl Estates,51394,Medium
Hopatcong,51395,Medium
Hopatcong Heights,51396,Medium
Hopatcong Hills,51397,Medium
Hopelawn,51398,Medium
Hornerstown,51399,Medium
Houses Corner,51400,Medium
Huntsburg,51401,Medium
Hurdtown,51402,Medium
Hurffville,51403,Medium
Husted,51404,Medium
Husted Landing,51405,Medium
Hutchinson Mills,51406,Medium
Hutton Park,51407,Medium
Huyler Landing,51408,Medium
Hyson,51409,Medium
Imlaystown,51410,Medium
Idell,51411,Medium
Independence Corner,51412,Medium
Indian Mills,51413,Medium
Iron Rock,51414,Medium
Ironia,51415,Medium
Iselin,51416,Medium
Island Beach Heights,51417,Medium
Island Heights,51418,Medium
Ivystone Farms,51419,Medium
Jacksons Mills,51420,Medium
Jacobstown,51421,Medium
Jamesburg Gardens,51422,Medium
Jamesburg Park,51423,Medium
Janvier,51424,Medium
Jeffers Landing,51425,Medium
Jersey City,51426,Medium
Jessups Mill,51427,Medium
Jobstown,51428,Medium
Johnson Place,51429,Medium
Johnsonburg,51430,Medium
Jordantown,51431,Medium
Juliustown,51432,Medium
Jutland,51433,Medium
Kalarama,51434,Medium
Kampe,51435,Medium
Karrsville,51436,Medium
Kay Gardens,51437,Medium
Keansburg,51438,Medium
Keasbey,51439,Medium
Kendall Park,51440,Medium
Kennedy Mills,51441,Medium
Kennedys,51442,Medium
Kenvil,51443,Medium
Kernan Corner,51444,Medium
Keswick Grove,51445,Medium
Keyport,51446,Medium
Kimbles Beach,51447,Medium
Kimseytown,51448,Medium
King Crab Landing,51449,Medium
Kings Woods,51450,Medium
Kingwood,51451,Medium
Kinkora,51452,Medium
Kinnelon,51453,Medium
Kirbys Mill,51454,Medium
Kirbys Mills,51455,Medium
Kitchell,51456,Medium
Klinesville,51457,Medium
Kresson,51458,Medium
Lafayette Mills,51459,Medium
Lahiere,51460,Medium
Lake Club,51461,Medium
Lake Hiawatha,51462,Medium
Lake Hopatcong,51463,Medium
Lake Mohawk,51464,Medium
Lake Parsippany,51465,Medium
Lake Pine,51466,Medium
Lake Telemark,51467,Medium
Lakehurst,51468,Medium
Lakewood Corner Estates,51469,Medium
Lambs Terrace,51470,Medium
Lamington,51471,Medium
Land Of Pines,51472,Medium
Landing,51473,Medium
Landisville,51474,Medium
Lanes Mills,51475,Medium
Lanoka Harbor,51476,Medium
Larisons Corners,51477,Medium
Larrabees,51478,Medium
Laurel Farms,51479,Medium
Laurel Harbor,51480,Medium
Laurel Lake,51481,Medium
Laurel Springs,51482,Medium
Laurelton,51483,Medium
Laurelton Gardens,51484,Medium
Laurence Harbor,51485,Medium
Lavallette,51486,Medium
Lawnside,51487,Medium
Lawrence Brook Manor,51488,Medium
Leamings Mill,51489,Medium
Lebanon Lake Estates,51490,Medium
Leeds Point,51491,Medium
Leektown,51492,Medium
Legler,51493,Medium
Leisure Knoll,51494,Medium
Leisure Village East,51495,Medium
Leisuretowne,51496,Medium
Lenola,51497,Medium
Leonardo,51498,Medium
Leonards,51499,Medium
Lincroft,51500,Medium
Lindenau,51501,Medium
Lindenwold,51502,Medium
Linvale,51503,Medium
Lippincotts Corner,51504,Medium
Little Brook,51505,Medium
Little Ferry,51506,Medium
Little Rocky Hill,51507,Medium
Little Silver,51508,Medium
Little Silver Point,51509,Medium
Llewellyn Park,51510,Medium
Loantaka Estates,51511,Medium
Loch Arbour,51512,Medium
Locktown,51513,Medium
Locust Corner,51514,Medium
Locustwood,51515,Medium
Logansville,51516,Medium
Lommasons Glen,51517,Medium
Longport,51518,Medium
Lores Mill,51519,Medium
Lower Bank,51520,Medium
Lower Fairmount,51521,Medium
Lower Forge,51522,Medium
Lower Harmony,51523,Medium
Lower Longwood,51524,Medium
Lower Montville,51525,Medium
Lower Squankum,51526,Medium
Lower Valley,51527,Medium
Lows Hollow,51528,Medium
Loyds Corner,51529,Medium
Lucaston,51530,Medium
Lummistown,51531,Medium
Lyndhurst,51532,Medium
Lynn Woodoaks,51533,Medium
Macarthur Manor,51534,Medium
Macopin,51535,Medium
Madison Park,51536,Medium
Madison Hill,51537,Medium
Mahoneyville,51538,Medium
Mahwah,51539,Medium
Malapardis,51540,Medium
Manahawkin,51541,Medium
Manahawkin Terrace,51542,Medium
Manasquan,51543,Medium
Manasquan Park,51544,Medium
Manitou Park,51545,Medium
Mannington Mills,51546,Medium
Mansfield Square,51547,Medium
Mantoloking,51548,Medium
Mantoloking Estates,51549,Medium
Mantoloking Shores,51550,Medium
Mantua Grove,51551,Medium
Manumuskin,51552,Medium
Manunka Chunk,51553,Medium
Maple Meade,51554,Medium
Maple Shade,51555,Medium
Margate City,51556,Medium
Mariannes Corner,51557,Medium
Marksboro,51558,Medium
Marlton Heights,51559,Medium
Marlton Lakes,51560,Medium
Marlyn Manor,51561,Medium
Marmora,51562,Medium
Maskells Mill,51563,Medium
Masonicus,51564,Medium
Matchaponix,51565,Medium
Maurer,51566,Medium
Maurice River,51567,Medium
Mauricetown,51568,Medium
Mays Landing,51569,Medium
Mccoys Corner,51570,Medium
Mccrea Mills,51571,Medium
Mckee City,51572,Medium
Meadford Farms,51573,Medium
Meadow Village,51574,Medium
Meadows Terrace,51575,Medium
Mechlings Corner,51576,Medium
Medford Lakes,51577,Medium
Menantico,51578,Medium
Mendham,51579,Medium
Menlo Park Terrace,51580,Medium
Mercerville,51581,Medium
Merchantville,51582,Medium
Merrygold,51583,Medium
Metedeconk,51584,Medium
Meyersville,51585,Medium
Metuchen,51586,Medium
Mickles Mill,51587,Medium
Mickleton,51588,Medium
Middle Valley,51589,Medium
Middlebush,51590,Medium
Middlesex Downs,51591,Medium
Midwood,51592,Medium
Mile Hollow,51593,Medium
Millbridge,51594,Medium
Millbrook Park,51595,Medium
Millside Heights,51596,Medium
Milmay,51597,Medium
Mine Brook,51598,Medium
Mine Hill,51599,Medium
Minotola,51600,Medium
Moe,51601,Medium
Moerls Corner,51602,Medium
Monks,51603,Medium
Monmouth Beach,51604,Medium
Monmouth Heights At Manalapan,51605,Medium
Monmouth Heights At Marlboro,51606,Medium
Monmouth Hills,51607,Medium
Monmouth Junction,51608,Medium
Monterey Beach,51609,Medium
Montclair Heights,51610,Medium
Moonachie,51611,Medium
Morehousetown,51612,Medium
Morgan Village,51613,Medium
Morrell Corners,51614,Medium
Morris Beach,51615,Medium
Morris Plains,51616,Medium
Mount,51617,Medium
Mount Arlington,51618,Medium
Morsemere,51619,Medium
Mount Fern,51620,Medium
Mount Laurel,51621,Medium
Mount Misery,51622,Medium
Mount Rose,51623,Medium
Mountainside,51624,Medium
Mounts Mills,51625,Medium
Mowers,51626,Medium
Muirhead,51627,Medium
Mullica Hill,51628,Medium
Munion Field,51629,Medium
Murray Grove,51630,Medium
Mountain Lakes,51631,Medium
Mystic Islands,51632,Medium
Natco,51633,Medium
National Park,51634,Medium
Naughright,51635,Medium
Navesink,51636,Medium
Navesink Beach,51637,Medium
Neptune City,51638,Medium
Necombtown,51639,Medium
Neshanic,51640,Medium
Nesco,51641,Medium
Neshanic Station,51642,Medium
Netcong,51643,Medium
Netherwood,51644,Medium
New Bridge,51645,Medium
New Dover,51646,Medium
New Brooklyn,51647,Medium
New Egypt,51648,Medium
New England Crossroads,51649,Medium
New Freedom,51650,Medium
New Monmouth,51651,Medium
New Gretna,51652,Medium
New Vernon,51653,Medium
Newport Landing,51654,Medium
Newstead North,51655,Medium
New Italy,51656,Medium
Newton Heights,51657,Medium
Norburys Landing,51658,Medium
Normandie,51659,Medium
Normandy Beach,51660,Medium
Newark Heights,51661,Medium
Newbolds Corner,51662,Medium
Normanook,51663,Medium
North Arlington,51664,Medium
North Caldwell,51665,Medium
North Cape May,51666,Medium
North Centerville,51667,Medium
North Crosswicks,51668,Medium
North Edison,51669,Medium
North Hackensack,51670,Medium
North Haledon,51671,Medium
North Highlands Beach,51672,Medium
North Long Branch,51673,Medium
North Beach Haven,51674,Medium
North Bergen,51675,Medium
North Branch Depot,51676,Medium
North Plainfield,51677,Medium
North Port Norris,51678,Medium
North Princeton,51679,Medium
North Stelton,51680,Medium
North Vineland,51681,Medium
North Wildwood,51682,Medium
Northmont,51683,Medium
Nugentown,51684,Medium
Nutley,51685,Medium
Nummytown,51686,Medium
Oak Island Junction,51687,Medium
Northvale,51688,Medium
Oak Ridge Estates,51689,Medium
Northrup,51690,Medium
Oak Shade,51691,Medium
Oak Tree,51692,Medium
Oakhurst Manor,51693,Medium
Oaklyn,51694,Medium
Oakwood Beach,51695,Medium
Oakwood Lakes,51696,Medium
Ocean Acres,51697,Medium
Ocean Gate,51698,Medium
Oceanic,51699,Medium
Oceanport,51700,Medium
Ogdensburg,51701,Medium
Old Bridge,51702,Medium
Old Mill Farms,51703,Medium
Old Tappan,51704,Medium
Oldmans,51705,Medium
Oldwick,51706,Medium
Oliphants Mills,51707,Medium
Oradell,51708,Medium
Orchard Center,51709,Medium
Orchard Heights,51710,Medium
Ordmont,51711,Medium
Oriental,51712,Medium
Ormond,51713,Medium
Ortley Beach,51714,Medium
Ortley Terrace,51715,Medium
Osborn Mills,51716,Medium
Osbornes Mills,51717,Medium
Osbornsville,51718,Medium
Othello,51719,Medium
Outcalt,51720,Medium
Oyster Creek,51721,Medium
Pancoast,51722,Medium
Papakating,51723,Medium
Packanack Lake,51724,Medium
Pahaquarry,51725,Medium
Paradise Lakes,51726,Medium
Paramus,51727,Medium
Parkway Manor,51728,Medium
Parkway Pines,51729,Medium
Parry,51730,Medium
Parsippany,51731,Medium
Passaic Junction,51732,Medium
Paterson,51733,Medium
Patricks Corners,51734,Medium
Pattenburg,51735,Medium
Paulas Corners,51736,Medium
Paulsboro,51737,Medium
Paulins Kill,51738,Medium
Pavonia,51739,Medium
Paynters Crossing,51740,Medium
Peahala Park,51741,Medium
Peapack,51742,Medium
Peapack And Gladstone,51743,Medium
Pecks Corner,51744,Medium
Pedricktown,51745,Medium
Pellettown,51746,Medium
Pemberton Heights,51747,Medium
Penbryn,51748,Medium
Penn Place,51749,Medium
Penns Beach,51750,Medium
Penns Grove,51751,Medium
Penns Neck,51752,Medium
Pennsauken,51753,Medium
Pennsville,51754,Medium
Penny Pot,51755,Medium
Pennypacker Park,51756,Medium
Penwell,51757,Medium
Pequannock,51758,Medium
Pequest,51759,Medium
Perkintown,51760,Medium
Perrineville,51761,Medium
Perth Amboy,51762,Medium
Perth Amboy Junction,51763,Medium
Pestletown,51764,Medium
Phalanx,51765,Medium
Philips Mills,51766,Medium
Pierce Heights,51767,Medium
Pierces,51768,Medium
Pierces Point,51769,Medium
Pine Lake Park,51770,Medium
Pill Hill,51771,Medium
Pine Lane,51772,Medium
Pine Ridge At Crestwood,51773,Medium
Pine Tavern,51774,Medium
Pines Lake,51775,Medium
Piney Hollow,51776,Medium
Pinewald,51777,Medium
Pipers Corner,51778,Medium
Pittstown,51779,Medium
Plainsboro,51780,Medium
Plainsboro Center,51781,Medium
Plaza Park,51782,Medium
Pleasant Valley Crossroads,51783,Medium
Pluckemin,51784,Medium
Plumbsock,51785,Medium
Point Airy,51786,Medium
Point Pleasant Beach,51787,Medium
Point Of Woods,51788,Medium
Pointers,51789,Medium
Pointville,51790,Medium
Pole Tavern,51791,Medium
Polhemustown,51792,Medium
Polktown,51793,Medium
Pompton,51794,Medium
Pompton Junction,51795,Medium
Pompton Lakes,51796,Medium
Pompton Plains,51797,Medium
Porches Mill,51798,Medium
Porchtown,51799,Medium
Port Colden,51800,Medium
Port Elizabeth,51801,Medium
Port Johnson,51802,Medium
Port Mercer,51803,Medium
Port Monmouth,51804,Medium
Port Morris,51805,Medium
Port Murray,51806,Medium
Port Norris,51807,Medium
Port Reading,51808,Medium
Port Warren,51809,Medium
Port-Au-Peck,51810,Medium
Portertown,51811,Medium
Possumtown,51812,Medium
Post Corner,51813,Medium
Potterstown,51814,Medium
Powerville,51815,Medium
Prallsville,51816,Medium
Preakness,51817,Medium
Presidential Lake Estates,51818,Medium
Potato Island,51819,Medium
Potters,51820,Medium
Presidential Lakes Estates,51821,Medium
Princessville,51822,Medium
Princeton Colonial Park,51823,Medium
Princeton Ivy East,51824,Medium
Princeton Junction,51825,Medium
Princeton Meadows,51826,Medium
Prospect Plains,51827,Medium
Prospect Point,51828,Medium
Prospertown,51829,Medium
Prossers Mills,51830,Medium
Pulis Mills,51831,Medium
Pullentown,51832,Medium
Pumptown,51833,Medium
Quaker Gardens,51834,Medium
Radburn,51835,Medium
Rahway,51836,Medium
Raines Corner,51837,Medium
Rammel Mill,51838,Medium
Ramseysburg,51839,Medium
Ramtown,51840,Medium
Rancocas,51841,Medium
Rancocas Heights,51842,Medium
Rancocas Woods,51843,Medium
Randolphville,51844,Medium
Raritan Gardens,51845,Medium
Raritan Manor,51846,Medium
Readingsburg,51847,Medium
Raven Rock,51848,Medium
Reaville,51849,Medium
Readington,51850,Medium
Red Mill,51851,Medium
Red Oak Grove,51852,Medium
Red Valley,51853,Medium
Redshaw Corner,51854,Medium
Reeds Beach,51855,Medium
Reega,51856,Medium
Reevytown,51857,Medium
Remsen Mill,51858,Medium
Remsterville,51859,Medium
Repaupo,51860,Medium
Revere Run,51861,Medium
Richmantown,51862,Medium
Riddleton,51863,Medium
Ridgedale Park,51864,Medium
Ridgewood Junction,51865,Medium
Riegel Ridge,51866,Medium
Riegelsville,51867,Medium
Ringoes,51868,Medium
Ridgefield Park,51869,Medium
Rio Grande,51870,Medium
River Bank,51871,Medium
River Vale,51872,Medium
Rivercrest Manor,51873,Medium
Riviera On The Barnegat,51874,Medium
Riviera On The Bay,51875,Medium
Roadstown,51876,Medium
Robanna,51877,Medium
Robbinsville,51878,Medium
Robinsville,51879,Medium
Robinvale,51880,Medium
Rochelle Park,51881,Medium
Rock Mill,51882,Medium
Rockaway,51883,Medium
Rockaway Valley,51884,Medium
Rockefellows Mills,51885,Medium
Rockleigh,51886,Medium
Rocktown,51887,Medium
Roebling,51888,Medium
Roosevelt City,51889,Medium
Rosedale Village,51890,Medium
Roselle Park,51891,Medium
Rosenhayn,51892,Medium
Round Top,51893,Medium
Rowland Mills,51894,Medium
Roxburg,51895,Medium
Royce Valley,51896,Medium
Roys,51897,Medium
Rudeville,51898,Medium
Rulon Road,51899,Medium
Rumson,51900,Medium
Runnemede,51901,Medium
Russia,51902,Medium
Rutgers,51903,Medium
Saddle Brook,51904,Medium
Saddle River,51905,Medium
Saint Josephs Village,51906,Medium
Saint Vladimirs,51907,Medium
Salem Hill,51908,Medium
Sands Point,51909,Medium
Saxton Falls,51910,Medium
Samptown,51911,Medium
Sand Brook,51912,Medium
Sayre Woods,51913,Medium
Sally Marshall Crossing,51914,Medium
Sayerwood South,51915,Medium
Sayreville,51916,Medium
Sayreville Junction,51917,Medium
Sayreville Station,51918,Medium
Schalks,51919,Medium
Schellenger Landing,51920,Medium
Schepps Valley,51921,Medium
Schooleys Mountain,51922,Medium
Scobeyville,51923,Medium
Scotch Bonnet,51924,Medium
Scotch Plains,51925,Medium
Scow Landing,51926,Medium
Scrapetown,51927,Medium
Scrappy Corner,51928,Medium
Scratch Ridge,51929,Medium
Scudders Falls,51930,Medium
Scull Landing,51931,Medium
Scullville,51932,Medium
Sea Breeze,51933,Medium
Sea Bright,51934,Medium
Sea Girt,51935,Medium
Sea Isle City,51936,Medium
Seabrook Farms,51937,Medium
Seaside Heights,51938,Medium
Seaside Heights Harbor,51939,Medium
Seaside Park,51940,Medium
Seaview Park,51941,Medium
Secaucus,51942,Medium
Sergeantsville,51943,Medium
Seven Stars,51944,Medium
Sewaren,51945,Medium
Shacks Corner,51946,Medium
Shady Lawn Manor,51947,Medium
Shark River Hills,51948,Medium
Sharps Corner,51949,Medium
Shawcrest,51950,Medium
Shaws Mill,51951,Medium
Shell Pile,51952,Medium
Shellbed Landing,51953,Medium
Sheppards Mill,51954,Medium
Sherbrook Estates,51955,Medium
Shinntown,51956,Medium
Ship Bottom,51957,Medium
Shippenport,51958,Medium
Shongum,51959,Medium
Shore Hills,51960,Medium
Shore Road Estates,51961,Medium
Shore View,51962,Medium
Short Hills,51963,Medium
Sicklerville,51964,Medium
Silver Ridge Park,51965,Medium
Silverton Estates,51966,Medium
Silverton Pine Terrace,51967,Medium
Sim Place,51968,Medium
Singac,51969,Medium
Sinnickson Landing,51970,Medium
Sixmile Run,51971,Medium
Skin Corner,51972,Medium
Sky View Manor,51973,Medium
Skylands,51974,Medium
